queries	명확도	Emojiness	긍정/부정 척도
팀장이 자꾸 자기일을 떠넘겨			
또 술먹어?			
고집 좀 부리지마			
사돈남말하네			
내일쯤 결과나오겠지			
오늘 부모님 방에서 잘거야			
오늘 집에 데려다줄수있어?			
나랑 수업 같이 들을래?			
이번에 나랑 조모임 같이 할생각있어?			
어제 안 취했는데?			
머리 좀 잘라			
너 폰 바꾼지 얼마 안됐잖아			
나 정도면 보통 아닌가?			
수술해야된대?			
어쩌면 수술해야될 수도 있어			
기절했어?			
하려던 일은 잘됐어?			
과제는 다 마무리한거야?			
너가 그 때 말했던 잡지가 뭐였지?			
왜 추운데 밖에 있어			
난 밤에 정신이 맑아			
어제 많이 졸려보이더라			
사진 찍는 거 좋아하나보네			
아직 화요일이라니			
과제가 내일까지 제출이라서			
뭐타고 가는데?			
과메기 먹을 줄 알아?			
나 글씨 잘 못써			
너 글씨 잘쓰네?			
확실히 나을때까지는 좀 쉬어			
한판만 더하고 갈게			
집안일 도와드리고 있어			
차막혀서 지금 도착했어			
내가 알아서 할테니까 신경쓰지마			
단풍이 많이 들었네			
그건 무슨 맛이야?			
너 알바 아님			
나한테 왜 못되게 굴어			
예비신랑이 누군데?			
신혼여행 어디로 간대?			
신혼여행 어디 가고싶어?			
오늘 안개가 많이 꼈다			
어제 엄마한테 혼났어?			
늦게 왔다고 혼났어			
우리 이제 사귀는건가?			
비밀연해 해본적있어?			
연상이 좋아 연하가 좋아?			
연상 만난 적 있어?			
오리고기 좋아해?			
최근에 영화본 거 있어?			
저거 보내고 잠들었당			
친구랑 먹어 난 괜찮아			
패딩 다시 꺼내야겠다			
내가 너무 밝히나?			
얼른 마무리하고 좀 쉬어			
나 팔베게 해줘			
어제 축구 이겼나?			
좋아하는 색 있어?			
여기 생각보다 괜찮네			
자고 일어나면 괜찮아지겠지			
그냥 경찰에 신고하는 게 낫지 않을까?			
나 지갑 주웠어			
나 헌팅 당했어			
방학 때 뭐할거야?			
너 렌즈껴?			
오늘부터 출근이야?			
난 햄버거성애쟈야			
나 앞머리 많이 길었다			
이번달에 돈 너무 많이 썼다			
동생한테 너무 뭐라하지마			
정치에 관심 많아?			
박근혜 넘 싫어			
애인 자랑을 어찌나 하든지			
너가 해주면 고맙지			
부모님 여행가셨어?			
부모님 언제 오셔?			
오늘 집 빈다			
그거까진 바라지도 않아			
말할 거 있었는데 까먹음			
너 통신사 어디야?			
졸업하면 뭐할거야?			
유럽여행 가본적있어?			
너 놀리는 거 재밌어			
방탈출 해본적있어?			
왜 혼자만 맛있는 거 먹어			
부럽다 나도 초밥먹고 싶었는데			
클럽 가본적있어?			
너때매 잠깼잖아			
오늘 달 진짜 크다			
난 왜 연애를 못하지?			
말을 왜 그렇게 해?			
나름 열심히 한건데 결과가 안좋으니까			
둘이 여행간다고?			
거기 직항이 있나?			
요즘 들을만한 노래 있어?			
여기 주차할 곳이 없네			
차에서 이상한 소리가 나			
주차위반 딱지 뗐어			
차 견인당했다			
차에 기름이 없네			
접촉사고 났어			
뒤에서 택시가 박았어			
임신이면 어떡할거야?			
일단 할일해 방해안할게			
한약이 너무 쓰다			
수업 들었는데 무슨 말인지 하나도 모르겠다			
식혜 맛있어			
자꾸 실수로 틀려			
치킨은 교촌이지			
그게 왜 궁금해?			
중고차라도 살까			
월세가 너무 비싸다			
혼자 안 심심해?			
같이 일하는 사람들은 다 괜찮아?			
내 향수냄새 괜찮아?			
내가 빨리 다니라고 했지			
김과장 안되겠네			
내가 혼내줄까?			
너 왜 내 페북 염탐해?			
나 남자랑 술마셔도 돼?			
오 이제 요가도 배워?			
왜 무음으로 해놨어?			
생각보다 여유있게 도착했네			
비와서 너무 눅눅해			
신발까지 다 젖었어			
집에 물샌다			
뭐 사러 간거야?			
오늘 회사 분위기가 안좋아			
버스에서 완전 졸았어			
교수 너무 짜증난다			
아니 왜 이딴 과제를 내는 거지?			
핑계대지마			
그냥 점심 때 남은 거 먹으려구			
너 걔랑 사귀는거야?			
나 쌍꺼풀 수술할까?			
걔 성형했다고 하던데			
나한테 뭐 섭섭한 거 있어?			
너때문에 감기걸렸어			
알바는 할만해?			
월급은 얼만데?			
난 시골이 좋아			
완전 아재개그네			
영화보다가 울었어			
아파도 학교는 가야지			
가출하고싶다			
열심히 하는 척만 하지말고			
나 생리통이 너무 심해			
그건 내 알바 아님			
지금 이 상황에 밥이 넘어가냐			
값싼 동정 필요없어			
무슨 동물 제일 좋아해?			
연예인 누구 제일 좋아해?			
이게 나라냐			
내가 오빤데 존댓말 써야지			
누나라고 불러			
반말하지마			
무슨 좋은 일 있어?			
오늘 기분이 너무 좋다			
자기소개서 쓰기 힘들다			
나한테 조언 좀 해줘			
나한테 할말 없어?			
난 먹는거 별로 안 좋아해			
일반인 코스프레 하지말고			
너 엑소덕후야?			
무슨 낯으로 엄마를 보겠어			
니가 양심이 있으면 그러면 안되지			
오늘 왜이렇게 사람이 많지?			
책제목이 뭔데?			
너 특유의 말투가 있어			
일어났다가 다시 잔거야?			
너 지브리 알아?			
벌써 소문 다 났어			
나 혈액형 뭐 같아?			
슬리퍼 신고 나가긴 그렇잖아			
너만 모르고 다알아			
무슨 요리하는데?			
에이씨 졸라 짜증나네	1	0	1
아 진짜 너무너무 아파	1	1	1
진짜 힘들어 뒈질것같다	1	1	1
오늘 정말 힘든 하루였어	1	1	2
야 씨발 넌 애비애미도 없냐	1	0	1
앗 정말 도시락 싸주는거야? 너무너무 좋아 엉엉	1	1	7
아 오늘 진짜 행복했어 내 인생 최고의 날이야	1	1	7
헐 씨발 나 로또 당첨됐어 미친 대박	1	1	7
으아아아아아 나 이번에 장학금 받는다 너무 좋아	1	1	7
넌 곱게 죽지는 못할거다	1	0	2
아 진짜 나 그때 못간다니까 몇번 말해야 알아들어	1	1	2
와 진짜 천상의 음식이다 이건... 감동스러워	1	1	6
자기야 너무너무 사랑해 나한텐 자기밖에 없어	1	1	7
너무 슬프다 진짜... 난 너한테 그것밖에 안되는거였냐	1	0	1
헐 대박 헐 대박 대박 대애애박	1	0	6
너랑 얘기할거 없고 지금 엄청 화났으니까 알아서 닥쳐	1	0	1
오늘 날씨 오랜만에 너무너무 좋다	1	1	6
나 드디어 카메라 샀어 화질 봐 장난 아냐 키키키	1	1	6
